Sample,X(ms) [05.01.2024 12:56:53 846 UTC],"firstHeater[%Q0.5]","secondHeater[%Q0.6]","thirdHeater[%Q0.7]"
633,1704459413854.064502,0,0,0
634,1704459413864.221750,0,0,0
635,1704459413874.089254,0,0,0
636,1704459413884.136615,0,0,0
637,1704459413894.209614,0,0,0
638,1704459413904.263798,0,0,0
639,1704459413914.064026,0,0,0
640,1704459413924.068787,0,0,0
641,1704459413934.066174,0,0,0
642,1704459413944.066538,0,0,0
643,1704459413954.065318,0,0,0
644,1704459413964.065220,0,0,0
645,1704459413974.067977,0,0,0
646,1704459413984.068621,0,0,0
647,1704459413994.065137,0,0,0
648,1704459414004.067754,0,0,0
649,1704459414014.107792,0,0,0
650,1704459414024.163989,0,0,0
651,1704459414034.220698,0,0,0
652,1704459414044.079045,0,0,0
653,1704459414054.162053,1,1,1
654,1704459414064.217259,1,1,1
655,1704459414074.067711,1,1,1
656,1704459414084.068525,1,1,1
657,1704459414094.073727,1,1,1
658,1704459414104.068579,1,1,1
659,1704459414114.069453,1,1,1
660,1704459414124.070378,1,1,1
661,1704459414134.070390,1,1,1
662,1704459414144.186130,1,1,1
663,1704459414154.240594,1,1,1
664,1704459414164.068834,1,1,1
665,1704459414174.069247,1,1,1
666,1704459414184.068839,1,1,1
667,1704459414194.068831,1,1,1
668,1704459414204.068774,1,1,1
669,1704459414214.068866,1,1,1
670,1704459414224.070001,1,1,1
671,1704459414234.069953,1,1,1
672,1704459414244.069745,1,1,1
673,1704459414254.090827,1,1,1
674,1704459414264.135002,1,1,1
675,1704459414274.188805,1,1,1
676,1704459414284.145096,1,1,1
677,1704459414294.113559,1,1,1
678,1704459414304.158015,1,1,1
679,1704459414314.215235,1,1,1
680,1704459414324.267946,1,1,1
681,1704459414334.071670,1,1,1
682,1704459414344.071752,1,1,1
683,1704459414354.071645,1,1,1
684,1704459414364.071627,1,1,1
685,1704459414374.097989,1,1,1
686,1704459414384.072143,1,1,1
687,1704459414394.073498,1,1,1
688,1704459414404.080273,1,1,1
689,1704459414414.073943,1,1,1
690,1704459414424.073815,1,1,1
691,1704459414434.098394,1,1,1
692,1704459414444.152217,1,1,1
693,1704459414454.214517,1,1,1
694,1704459414464.074767,1,1,1
695,1704459414474.139110,1,1,1
696,1704459414484.200758,1,1,1
697,1704459414494.246115,1,1,1
698,1704459414504.073644,1,1,1
699,1704459414514.073606,1,1,1
700,1704459414524.076745,1,1,1
701,1704459414534.076657,1,1,1
702,1704459414544.075557,1,1,1
703,1704459414554.074588,1,1,1
704,1704459414564.085270,1,1,1
705,1704459414574.140426,1,1,1
706,1704459414584.146640,1,1,1
707,1704459414594.208218,1,1,1
708,1704459414604.265788,1,1,1
709,1704459414614.079131,1,1,1
710,1704459414624.075837,1,1,1
711,1704459414634.077783,1,1,1
712,1704459414644.077465,1,1,1
713,1704459414654.084691,1,1,1
714,1704459414664.076367,1,1,1
715,1704459414674.076470,1,1,1
716,1704459414684.077624,1,1,1
717,1704459414694.077477,1,1,1
718,1704459414704.078972,1,1,1
719,1704459414714.077992,1,1,1
720,1704459414724.265246,1,1,1
721,1704459414734.127189,1,1,1
722,1704459414744.183978,1,1,1
723,1704459414754.239164,1,1,1
724,1704459414764.078435,1,1,1
725,1704459414774.078377,1,1,1
726,1704459414784.078460,1,1,1
727,1704459414794.078272,1,1,1
728,1704459414804.079316,1,1,1
729,1704459414814.079278,1,1,1
730,1704459414824.079481,1,1,1
731,1704459414834.079243,1,1,1
732,1704459414844.080859,1,1,1
733,1704459414854.079909,0,0,0
734,1704459414864.079200,0,0,0
735,1704459414874.182977,0,0,0
736,1704459414884.239105,0,0,0
737,1704459414894.080059,0,0,0
738,1704459414904.081244,0,0,0
739,1704459414914.083210,0,0,0
740,1704459414924.081208,0,0,0
741,1704459414934.081070,0,0,0
742,1704459414944.081163,0,0,0
743,1704459414954.081145,0,0,0
744,1704459414964.081408,0,0,0
745,1704459414974.082643,0,0,0
746,1704459414984.117100,0,0,0
747,1704459414994.171484,0,0,0
748,1704459415004.220709,0,0,0
749,1704459415014.087792,0,0,0
750,1704459415024.152045,0,0,0
751,1704459415034.206379,0,0,0
752,1704459415044.083321,0,0,0
753,1704459415054.084926,1,1,1
754,1704459415064.084448,1,1,1
755,1704459415074.084971,1,1,1
756,1704459415084.084683,1,1,1
757,1704459415094.084815,1,1,1
758,1704459415104.084447,1,1,1
759,1704459415114.084029,1,1,1
760,1704459415124.084171,1,1,1
761,1704459415134.085526,1,1,1
762,1704459415144.114303,1,1,1
763,1704459415154.183625,1,1,1
764,1704459415164.255963,1,1,1
765,1704459415174.087019,1,1,1
766,1704459415184.140491,1,1,1
767,1704459415194.186981,1,1,1
768,1704459415204.253588,1,1,1
769,1704459415214.088932,1,1,1
770,1704459415224.085969,1,1,1
771,1704459415234.085901,1,1,1
772,1704459415244.085823,1,1,1
773,1704459415254.085916,1,1,1
774,1704459415264.180806,1,1,1
775,1704459415274.244368,1,1,1
776,1704459415284.107213,1,1,1
777,1704459415294.162699,1,1,1
778,1704459415304.218446,1,1,1
