Sample,X(ms) [05.01.2024 13:02:28 900 UTC],"firstHeater[%Q0.5]","secondHeater[%Q0.6]","thirdHeater[%Q0.7]"
626,1704459748905.052056,0,0,0
627,1704459748915.055084,0,0,0
628,1704459748925.091995,0,0,0
629,1704459748935.146199,0,0,0
630,1704459748945.199842,0,0,0
631,1704459748955.067787,0,0,0
632,1704459748965.054314,0,0,0
633,1704459748975.060228,0,0,0
634,1704459748985.053908,0,0,0
635,1704459748995.054201,0,0,0
636,1704459749005.053973,0,0,0
637,1704459749015.054286,0,0,0
638,1704459749025.062704,0,0,0
639,1704459749035.139380,0,0,0
640,1704459749045.167295,0,0,0
641,1704459749055.222722,0,0,0
642,1704459749065.085456,0,0,0
643,1704459749075.147595,0,0,0
644,1704459749085.204194,0,0,0
645,1704459749095.261183,0,0,0
646,1704459749105.059377,0,0,0
647,1704459749115.065761,0,0,0
648,1704459749125.056116,0,0,0
649,1704459749135.056288,0,0,0
650,1704459749145.056531,0,0,0
651,1704459749155.057355,0,0,0
652,1704459749165.062748,0,0,0
653,1704459749175.057761,0,0,0
654,1704459749185.057332,0,0,0
655,1704459749195.092941,0,0,0
656,1704459749205.123311,0,0,0
657,1704459749215.173607,0,0,0
658,1704459749225.224195,0,0,0
659,1704459749235.084705,0,0,0
660,1704459749245.143478,0,0,0
661,1704459749255.195498,0,0,0
662,1704459749265.260883,0,0,0
663,1704459749275.059347,0,0,0
664,1704459749285.057857,0,0,0
665,1704459749295.057939,0,0,0
666,1704459749305.059224,0,0,0
667,1704459749315.058696,0,0,0
668,1704459749325.062505,0,0,0
669,1704459749335.058791,0,0,0
670,1704459749345.059985,0,0,0
671,1704459749355.058986,0,0,0
672,1704459749365.083424,0,0,0
673,1704459749375.125806,0,0,0
674,1704459749385.192293,0,0,0
675,1704459749395.242570,0,0,0
676,1704459749405.115804,0,0,0
677,1704459749415.174116,0,0,0
678,1704459749425.232909,0,0,0
679,1704459749435.060858,0,0,0
680,1704459749445.060881,0,0,0
681,1704459749455.060653,0,0,0
682,1704459749465.060775,0,0,0
683,1704459749475.060878,0,0,0
684,1704459749485.060560,0,0,0
685,1704459749495.061043,0,0,0
686,1704459749505.060775,0,0,0
687,1704459749515.061729,0,0,0
688,1704459749525.063044,0,0,0
689,1704459749535.061523,0,0,0
690,1704459749545.088937,0,0,0
691,1704459749555.076947,0,0,0
692,1704459749565.211953,0,0,0
693,1704459749575.067895,0,0,0
694,1704459749585.124563,0,0,0
695,1704459749595.180621,0,0,0
696,1704459749605.241969,0,0,0
697,1704459749615.062604,0,0,0
698,1704459749625.062406,0,0,0
699,1704459749635.063591,0,0,0
700,1704459749645.063343,0,0,0
701,1704459749655.081790,0,0,0
702,1704459749665.227285,0,0,0
703,1704459749675.079741,0,0,0
704,1704459749685.143553,0,0,0
705,1704459749695.199991,0,0,0
706,1704459749705.249737,0,0,0
707,1704459749715.064251,0,0,0
708,1704459749725.064294,0,0,0
709,1704459749735.064346,0,0,0
710,1704459749745.064298,0,0,0
711,1704459749755.065253,0,0,0
712,1704459749765.065255,0,0,0
713,1704459749775.065909,0,0,0
714,1704459749785.065340,0,0,0
715,1704459749795.065433,0,0,0
716,1704459749805.069422,0,0,0
717,1704459749815.065247,0,0,0
718,1704459749825.085878,0,0,0
719,1704459749835.139531,0,0,0
720,1704459749845.190339,0,0,0
721,1704459749855.243180,0,0,0
722,1704459749865.100335,0,0,0
723,1704459749875.155701,0,0,0
724,1704459749885.220184,0,0,0
725,1704459749895.265672,0,0,0
726,1704459749905.067282,1,0,0
727,1704459749915.067114,1,0,0
728,1704459749925.067227,1,0,0
729,1704459749935.067269,1,0,0
730,1704459749945.067121,1,0,0
731,1704459749955.068226,1,0,0
732,1704459749965.096692,1,0,0
733,1704459749975.148672,1,0,0
734,1704459749985.201723,1,0,0
735,1704459749995.101618,1,0,0
736,1704459750005.067927,1,0,0
737,1704459750015.068140,1,0,0
738,1704459750025.069896,1,0,0
739,1704459750035.069086,1,0,0
740,1704459750045.070161,1,0,0
741,1704459750055.069111,1,0,0
742,1704459750065.069064,1,0,0
743,1704459750075.070829,1,0,0
744,1704459750085.083525,1,0,0
745,1704459750095.135395,1,0,0
746,1704459750105.187375,1,0,0
747,1704459750115.243202,1,0,0
748,1704459750125.104214,1,0,0
749,1704459750135.156144,1,0,0
750,1704459750145.209015,1,0,0
751,1704459750155.260815,1,0,0
752,1704459750165.070901,1,0,0
753,1704459750175.070863,1,0,0
754,1704459750185.070866,1,0,0
755,1704459750195.070978,1,0,0
756,1704459750205.072042,1,0,0
757,1704459750215.072045,1,0,0
758,1704459750225.073079,1,0,0
759,1704459750235.072020,1,0,0
760,1704459750245.071852,1,0,0
761,1704459750255.071854,1,0,0
762,1704459750265.083659,1,0,0
763,1704459750275.115621,1,0,0
764,1704459750285.159205,1,0,0
765,1704459750295.084698,1,0,0
766,1704459750305.263475,1,0,0
767,1704459750315.128795,1,0,0
768,1704459750325.188479,1,0,0
769,1704459750335.232955,1,0,0
770,1704459750345.073719,1,0,0
771,1704459750355.082157,1,0,0
772,1704459750365.074144,1,0,0
773,1704459750375.073806,1,0,0
774,1704459750385.073759,1,0,0
775,1704459750395.074723,1,0,0
776,1704459750405.074915,1,0,0
777,1704459750415.074627,1,0,0
778,1704459750425.074760,1,0,0
779,1704459750435.076636,1,0,0
780,1704459750445.074705,1,0,0
781,1704459750455.084485,1,0,0
782,1704459750465.147185,1,0,0
783,1704459750475.186391,1,0,0
784,1704459750485.240144,1,0,0
785,1704459750495.100294,1,0,0
786,1704459750505.153006,0,0,0
787,1704459750515.208452,0,0,0
788,1704459750525.255703,0,0,0
789,1704459750535.080427,0,0,0
790,1704459750545.079838,0,0,0
791,1704459750555.076664,0,0,0
792,1704459750565.076627,0,0,0
793,1704459750575.076609,0,0,0
794,1704459750585.077673,0,0,0
795,1704459750595.079519,0,0,0
796,1704459750605.078029,0,0,0
797,1704459750615.077681,0,0,0
798,1704459750625.082923,0,0,0
799,1704459750635.108363,0,0,0
800,1704459750645.176333,0,0,0
801,1704459750655.270562,0,0,0
802,1704459750665.085878,0,0,0
803,1704459750675.144600,0,0,0
804,1704459750685.286910,0,0,0
805,1704459750695.082188,0,0,0
806,1704459750705.079926,0,0,0
807,1704459750715.082363,0,0,0
808,1704459750725.080913,0,0,0
809,1704459750735.081506,0,0,0
810,1704459750745.081068,0,0,0
811,1704459750755.080980,0,0,0
812,1704459750765.082155,0,0,0
813,1704459750775.081997,0,0,0
814,1704459750785.081819,0,0,0
815,1704459750795.125724,0,0,0
816,1704459750805.166543,0,0,0
817,1704459750815.221728,0,0,0
818,1704459750825.273738,0,0,0
819,1704459750835.129139,0,0,0
820,1704459750845.187832,0,0,0
821,1704459750855.235844,0,0,0
822,1704459750865.083491,0,0,0
823,1704459750875.083914,0,0,0
824,1704459750885.083756,0,0,0
825,1704459750895.083789,0,0,0
826,1704459750905.083751,1,0,0
827,1704459750915.083763,1,0,0
828,1704459750925.083896,1,0,0
829,1704459750935.084620,1,0,0
830,1704459750945.116151,1,0,0
831,1704459750955.173191,1,0,0
832,1704459750965.218618,1,0,0
833,1704459750975.172785,1,0,0
834,1704459750985.225566,1,0,0
835,1704459750995.278538,1,0,0
836,1704459751005.085558,1,0,0
837,1704459751015.086182,1,0,0
838,1704459751025.088999,1,0,0
839,1704459751035.085555,1,0,0
840,1704459751045.087602,1,0,0
841,1704459751055.097102,1,0,0
842,1704459751065.086154,1,0,0
843,1704459751075.086557,1,0,0
844,1704459751085.086289,1,0,0
845,1704459751095.086151,1,0,0
846,1704459751105.086464,1,0,0
847,1704459751115.086095,1,0,0
848,1704459751125.086168,1,0,0
849,1704459751135.086120,1,0,0
850,1704459751145.086423,1,0,0
851,1704459751155.087247,1,0,0
852,1704459751165.106606,1,0,0
853,1704459751175.146122,1,0,0
854,1704459751185.197782,1,0,0
855,1704459751195.250924,1,0,0
856,1704459751205.113238,1,0,0
857,1704459751215.165789,1,0,0
858,1704459751225.216316,1,0,0
859,1704459751235.272393,1,0,0
860,1704459751245.088531,1,0,0
861,1704459751255.087511,1,0,0
862,1704459751265.087564,1,0,0
863,1704459751275.087666,1,0,0
864,1704459751285.088180,1,0,0
865,1704459751295.088082,1,0,0
866,1704459751305.088094,1,0,0
867,1704459751315.088007,1,0,0
868,1704459751325.211751,1,0,0
869,1704459751335.177349,1,0,0
870,1704459751345.246862,1,0,0
871,1704459751355.214443,1,0,0
872,1704459751365.265121,1,0,0
873,1704459751375.091247,1,0,0
874,1704459751385.090899,1,0,0
875,1704459751395.088987,1,0,0
876,1704459751405.090903,1,0,0
877,1704459751415.091898,1,0,0
878,1704459751425.091770,1,0,0
879,1704459751435.091732,1,0,0
880,1704459751445.093878,1,0,0
881,1704459751455.091847,1,0,0
882,1704459751465.092701,1,0,0
883,1704459751475.092934,1,0,0
884,1704459751485.107724,1,0,0
885,1704459751495.165465,1,0,0
886,1704459751505.222504,0,0,0
887,1704459751515.267832,0,0,0
888,1704459751525.129384,0,0,0
889,1704459751535.180112,0,0,0
890,1704459751545.233394,0,0,0
