Sample,X(ms) [09.01.2024 18:31:16 377 UTC],"ExecutePWM_DB.I_furnancePower","ExecutePWM_DB.I_tempSetPoint","ExecutePWM_DB.tempAfterScaled","ExecutePWM_DB.I_flowSetPoint","ExecutePWM_DB.flowFlow"
123,1704825076549.638301,98.9215621948242,30,15.327691078186,2,2.00999999046326
124,1704825076849.615666,98.9215621948242,30,15.3175640106201,2,2.00999999046326
125,1704825077149.614741,98.9215621948242,30,15.3074359893799,2,2.00999999046326
126,1704825077449.627146,84.4104385375977,30,15.2922458648682,2,2.00999999046326
127,1704825077749.609879,84.4104385375977,30,15.2770538330078,2,2.00999999046326
128,1704825078049.620795,84.4104385375977,30,15.2669267654419,2,2
129,1704825078349.618292,85.7957153320313,30,15.256799697876,2,2
130,1704825078649.614635,85.7957153320313,30,15.2365446090698,2,2
131,1704825078949.626492,85.7957153320313,30,15.2264175415039,2,2
132,1704825079249.615701,88.4435958862305,30,15.2112274169922,2,2.00999999046326
133,1704825079549.616946,88.4435958862305,30,15.2011003494263,2,2.00999999046326
134,1704825079849.641901,88.4435958862305,30,15.190972328186,2,2
135,1704825080149.612821,88.4435958862305,30,15.1707172393799,2,2.00999999046326
136,1704825080449.618692,91.1824798583984,30,15.1656541824341,2,2
137,1704825080749.624381,91.1824798583984,30,15.1555271148682,2,2
138,1704825081049.667386,91.1824798583984,30,15.1504621505737,2,2
139,1704825081349.644155,93.8162994384766,30,15.1555271148682,2,2
140,1704825081649.613052,93.8162994384766,30,15.160590171814,2,2
141,1704825081949.634395,93.8162994384766,30,15.17578125,2,2
142,1704825082249.612026,96.066162109375,30,15.2011003494263,2,2
143,1704825082549.615666,96.066162109375,30,15.2416086196899,2,2
144,1704825082849.622768,96.066162109375,30,15.327691078186,2,2
145,1704825083149.613492,96.066162109375,30,15.4137725830078,2,2
146,1704825083449.621035,97.3199920654297,30,15.5201101303101,2,2
147,1704825083749.651430,97.3199920654297,30,15.6517648696899,2,2
148,1704825084049.614075,97.3199920654297,30,15.899884223938,2,2
149,1704825084349.618461,96.7380676269531,30,16.1024303436279,2,2
150,1704825084649.613475,96.7380676269531,30,16.3404216766357,2,2
151,1704825084949.636648,96.7380676269531,30,16.6189231872559,2,2
152,1704825085249.622675,93.734130859375,30,16.9379329681396,2,2
153,1704825085549.621759,93.734130859375,30,17.4949359893799,2,2
154,1704825085849.615092,93.734130859375,30,17.9202842712402,2,2
155,1704825086149.615399,93.734130859375,30,18.3912048339844,2,2
156,1704825086449.612741,87.8570404052734,30,18.9026336669922,2,1.99000000953674
157,1704825086749.607026,87.8570404052734,30,19.743200302124,2,2
158,1704825087049.613279,87.8570404052734,30,20.3508396148682,2,2
159,1704825087349.645235,79.1581726074219,30,20.9888610839844,2,2
160,1704825087649.615568,79.1581726074219,30,21.6623268127441,2,2
161,1704825087949.642195,79.1581726074219,30,22.3560485839844,2,1.99000000953674
162,1704825088249.618546,69.3059005737305,30,23.4396705627441,2,2
163,1704825088549.623781,69.3059005737305,30,24.1890907287598,2,2
164,1704825088849.616568,69.3059005737305,30,24.9587669372559,2,2
165,1704825089149.615066,69.3059005737305,30,25.7537631988525,2,2
166,1704825089449.637995,59.0437774658203,30,26.9842319488525,2,2
167,1704825089749.616812,59.0437774658203,30,27.8298606872559,2,2
168,1704825090049.612372,59.0437774658203,30,28.7008094787598,2,2
169,1704825090349.626141,47.8532943725586,30,29.5970764160156,2,2
170,1704825090649.612452,47.8532943725586,30,30.5085353851318,2,2
171,1704825090949.657421,47.8532943725586,30,31.8909149169922,2,1.99000000953674
172,1704825091249.624732,35.5824356079102,30,32.8125,2,2
173,1704825091549.637283,35.5824356079102,30,33.7239608764648,2,2
174,1704825091849.619541,35.5824356079102,30,34.615161895752,2,1.99000000953674
175,1704825092149.615035,35.5824356079102,30,35.9063949584961,2,1.99000000953674
176,1704825092449.612559,23.7796878814697,30,36.7165794372559,2,1.99000000953674
177,1704825092749.613341,23.7796878814697,30,37.486255645752,2,1.99000000953674
178,1704825093049.635741,23.7796878814697,30,38.2103576660156,2,1.99000000953674
179,1704825093349.613328,16.0141086578369,30,38.8939514160156,2,1.9799998998642
180,1704825093649.640541,16.0141086578369,30,39.8357925415039,2,1.9799998998642
181,1704825093949.633541,16.0141086578369,30,40.4029235839844,2,1.9799998998642
182,1704825094249.612799,11.5166606903076,30,40.9244804382324,2,1.9799998998642
183,1704825094549.645626,11.5166606903076,30,41.4055252075195,2,1.99000000953674
184,1704825094849.622368,11.5166606903076,30,42.0536727905273,2,1.9799998998642
185,1704825095149.622332,11.5166606903076,30,42.4334487915039,2,1.9799998998642
186,1704825095449.673106,9.12417888641357,30,42.7828407287598,2,1.9799998998642
187,1704825095749.626186,9.12417888641357,30,43.091724395752,2,1.9799998998642
188,1704825096049.626746,9.12417888641357,30,43.365161895752,2,1.9799998998642
189,1704825096349.664866,7.6040415763855,30,43.7145576477051,2,1.96999990940094
190,1704825096649.651697,7.6040415763855,30,43.8968467712402,2,1.96999990940094
191,1704825096949.626066,7.6040415763855,30,44.048755645752,2,1.9799998998642
192,1704825097249.661666,6.9253396987915,30,44.1550903320313,2,1.9799998998642
193,1704825097549.627595,6.9253396987915,30,44.2310485839844,2,1.99000000953674
194,1704825097849.624848,6.9253396987915,30,44.2259826660156,2,1.99000000953674
195,1704825098149.645817,6.9253396987915,30,44.1753463745117,2,1.99000000953674
196,1704825098449.624252,8.19791412353516,30,44.0892639160156,2,1.9799998998642
197,1704825098749.642546,8.19791412353516,30,43.9677352905273,2,1.9799998998642
