Sample,X(ms) [05.01.2024 12:51:17 134 UTC],"firstHeater[%Q0.5]","secondHeater[%Q0.6]","thirdHeater[%Q0.7]"
1979,1704459077138.301614,0,0,0
1980,1704459077148.355207,0,0,0
1981,1704459077158.409291,0,0,0
1982,1704459077168.292794,0,0,0
1983,1704459077178.293137,0,0,0
1984,1704459077188.293811,0,0,0
1985,1704459077198.292902,0,0,0
1986,1704459077208.293756,0,0,0
1987,1704459077218.293828,0,0,0
1988,1704459077228.298389,0,0,0
1989,1704459077238.426833,0,0,0
1990,1704459077248.465918,0,0,0
1991,1704459077258.321931,0,0,0
1992,1704459077268.402554,0,0,0
1993,1704459077278.441309,0,0,0
1994,1704459077288.296821,0,0,0
1995,1704459077298.294479,0,0,0
1996,1704459077308.294601,0,0,0
1997,1704459077318.297128,0,0,0
1998,1704459077328.295427,0,0,0
1999,1704459077338.296091,0,0,0
2000,1704459077348.297015,0,0,0
2001,1704459077358.295425,0,0,0
2002,1704459077368.295557,0,0,0
2003,1704459077378.295499,0,0,0
2004,1704459077388.296464,0,0,0
2005,1704459077398.297027,0,0,0
2006,1704459077408.329691,0,0,0
2007,1704459077418.394365,0,0,0
2008,1704459077428.296453,0,0,0
2009,1704459077438.297487,0,0,0
2010,1704459077448.297400,0,0,0
2011,1704459077458.297452,0,0,0
2012,1704459077468.297404,0,0,0
2013,1704459077478.297607,0,0,0
2014,1704459077488.297610,0,0,0
2015,1704459077498.297301,0,0,0
2016,1704459077508.298436,0,0,0
2017,1704459077518.334787,0,0,0
2018,1704459077528.375646,0,0,0
2019,1704459077538.432164,0,0,0
2020,1704459077548.485887,0,0,0
2021,1704459077558.345145,0,0,0
2022,1704459077568.399450,0,0,0
2023,1704459077578.449446,0,0,0
2024,1704459077588.501726,0,0,0
2025,1704459077598.299369,0,0,0
2026,1704459077608.300193,0,0,0
2027,1704459077618.300235,0,0,0
2028,1704459077628.300338,0,0,0
2029,1704459077638.300170,1,1,1
2030,1704459077648.300193,1,1,1
2031,1704459077658.300225,1,1,1
2032,1704459077668.301510,1,1,1
2033,1704459077678.375671,1,1,1
2034,1704459077688.301875,1,1,1
2035,1704459077698.302779,1,1,1
2036,1704459077708.351944,1,1,1
2037,1704459077718.405407,1,1,1
2038,1704459077728.453149,1,1,1
2039,1704459077738.333727,1,1,1
2040,1704459077748.359107,1,1,1
2041,1704459077758.416697,1,1,1
2042,1704459077768.467144,1,1,1
2043,1704459077778.304201,1,1,1
2044,1704459077788.304033,1,1,1
2045,1704459077798.304166,1,1,1
2046,1704459077808.303918,1,1,1
2047,1704459077818.307877,1,1,1
2048,1704459077828.304163,1,1,1
2049,1704459077838.303183,1,1,1
2050,1704459077848.311602,1,1,1
2051,1704459077858.304220,1,1,1
2052,1704459077868.304533,1,1,1
2053,1704459077878.317359,1,1,1
2054,1704459077888.367887,1,1,1
2055,1704459077898.418033,1,1,1
2056,1704459077908.492044,1,1,1
2057,1704459077918.329211,1,1,1
2058,1704459077928.385950,1,1,1
2059,1704459077938.448770,1,1,1
2060,1704459077948.489158,1,1,1
2061,1704459077958.305556,1,1,1
2062,1704459077968.306841,1,1,1
2063,1704459077978.306042,1,1,1
2064,1704459077988.305894,1,1,1
2065,1704459077998.311778,1,1,1
2066,1704459078008.307111,1,1,1
2067,1704459078018.307324,1,1,1
2068,1704459078028.306865,1,1,1
2069,1704459078038.309543,1,1,1
2070,1704459078048.307091,1,1,1
2071,1704459078058.307824,1,1,1
2072,1704459078068.349685,1,1,1
2073,1704459078078.423286,1,1,1
2074,1704459078088.458474,1,1,1
2075,1704459078098.366474,1,1,1
2076,1704459078108.411771,1,1,1
2077,1704459078118.466266,1,1,1
2078,1704459078128.309053,1,1,1
2079,1704459078138.308926,0,0,0
2080,1704459078148.308768,0,0,0
2081,1704459078158.310313,0,0,0
2082,1704459078168.308802,0,0,0
2083,1704459078178.309847,0,0,0
2084,1704459078188.309799,0,0,0
