Sample,X(ms) [11.01.2024 13:23:09 610 UTC],"ExecutePWM_DB.I_furnancePower","ExecutePWM_DB.I_tempSetPoint","ExecutePWM_DB.tempAfterScaled","ExecutePWM_DB.I_flowSetPoint","ExecutePWM_DB.flowFlow"
140,1704979389895.655732,100,30,12.2743053436279,2,1.9799998998642
141,1704979390195.654737,99.4742660522461,30,12.2743053436279,2,1.96999990940094
142,1704979390495.658270,99.4742660522461,30,12.2743053436279,2,1.96999990940094
143,1704979390795.653599,99.4742660522461,30,12.2743053436279,2,1.96999990940094
144,1704979391095.664484,84.4628601074219,30,12.2743053436279,2,1.95999991893768
145,1704979391395.674777,84.4628601074219,30,12.2743053436279,2,1.95999991893768
146,1704979391695.663812,84.4628601074219,30,12.2743053436279,2,1.95999991893768
147,1704979391995.679590,81.5065231323242,30,12.2692413330078,2,1.95999991893768
148,1704979392295.658759,81.5065231323242,30,12.2743053436279,2,1.95999991893768
149,1704979392595.654226,81.5065231323242,30,12.2743053436279,2,1.96999990940094
150,1704979392895.659844,81.5065231323242,30,12.2692413330078,2,1.9799998998642
151,1704979393195.679150,82.6435394287109,30,12.2743053436279,2,1.99000000953674
152,1704979393495.677964,82.6435394287109,30,12.2743053436279,2,2
153,1704979393795.656444,82.6435394287109,30,12.2743053436279,2,2.01999998092651
154,1704979394095.656004,85.1299438476563,30,12.2793684005737,2,2.03999996185303
155,1704979394395.687004,85.1299438476563,30,12.2844333648682,2,2.04999995231628
156,1704979394695.655839,85.1299438476563,30,12.2945604324341,2,2.04999995231628
157,1704979394995.678479,87.9517822265625,30,12.3249416351318,2,2.03999996185303
158,1704979395295.655484,87.9517822265625,30,12.360387802124,2,2.01999998092651
159,1704979395595.651897,87.9517822265625,30,12.400897026062,2,2.00999999046326
160,1704979395895.663177,87.9517822265625,30,12.456597328186,2,2.00999999046326
161,1704979396195.664550,90.1802215576172,30,12.5325517654419,2,2.00999999046326
162,1704979396495.665804,90.1802215576172,30,12.6692705154419,2,2
163,1704979396795.654252,90.1802215576172,30,12.7857351303101,2,1.99000000953674
164,1704979397095.677004,91.1156387329102,30,12.9275178909302,2,1.99000000953674
165,1704979397395.653124,91.1156387329102,30,13.0946178436279,2,1.99000000953674
166,1704979397695.656932,91.1156387329102,30,13.3933734893799,2,1.99000000953674
167,1704979397995.671324,90.2459869384766,30,13.6263017654419,2,1.99000000953674
168,1704979398295.677519,90.2459869384766,30,13.8845491409302,2,2
169,1704979398595.659057,90.2459869384766,30,14.1731767654419,2,2
170,1704979398895.657852,90.2459869384766,30,14.4871234893799,2,2.00999999046326
171,1704979399195.655577,87.2724380493164,30,15.0086803436279,2,2.00999999046326
172,1704979399495.685964,87.2724380493164,30,15.3884553909302,2,2.00999999046326
173,1704979399795.649750,87.2724380493164,30,15.7935476303101,2,2.00999999046326
174,1704979400095.708724,82.7746429443359,30,16.2290229797363,2,2.00999999046326
175,1704979400395.657572,82.7746429443359,30,16.927806854248,2,2.00999999046326
176,1704979400695.653839,82.7746429443359,30,17.4341716766357,2,2.00999999046326
177,1704979400995.659439,76.9761047363281,30,17.9709205627441,2,2.00999999046326
178,1704979401295.658186,76.9761047363281,30,18.5481777191162,2,2.00999999046326
179,1704979401595.666292,76.9761047363281,30,19.165943145752,2,2.00999999046326
180,1704979401895.657679,76.9761047363281,30,20.1634826660156,2,2.00999999046326
181,1704979402195.653350,69.0800704956055,30,20.8723964691162,2,2.00999999046326
182,1704979402495.659537,69.0800704956055,30,21.6167545318604,2,2.00999999046326
183,1704979402795.660919,69.0800704956055,30,22.396556854248,2,2.00999999046326
184,1704979403095.655332,58.8881340026855,30,23.6067714691162,2,2.00999999046326
185,1704979403395.656426,58.8881340026855,30,24.4372100830078,2,2.00999999046326
186,1704979403695.659204,58.8881340026855,30,25.2777767181396,2,2.00999999046326
187,1704979403995.659652,47.5241279602051,30,26.1183452606201,2,1.99000000953674
188,1704979404295.690177,47.5241279602051,30,26.9538478851318,2,1.95999991893768
189,1704979404595.679630,47.5241279602051,30,28.1995086669922,2,1.94999992847443
190,1704979404895.661239,47.5241279602051,30,29.009693145752,2,1.92999994754791
191,1704979405195.678732,37.8302383422852,30,29.7996234893799,2,1.9099999666214
192,1704979405495.663724,37.8302383422852,30,30.569299697876,2,1.9099999666214
193,1704979405795.679937,37.8302383422852,30,31.663049697876,2,1.91999995708466
194,1704979406095.659572,31.0228519439697,30,32.3618354797363,2,1.91999995708466
195,1704979406395.656910,31.0228519439697,30,33.0302352905273,2,1.91999995708466
196,1704979406695.659826,31.0228519439697,30,33.6733207702637,2,1.91999995708466
197,1704979406995.659324,26.9311904907227,30,34.2809600830078,2,1.92999994754791
198,1704979407295.684670,26.9311904907227,30,35.1417846679688,2,1.92999994754791
199,1704979407595.664044,26.9311904907227,30,35.6734657287598,2,1.93999993801117
200,1704979407895.655564,26.9311904907227,30,36.1697044372559,2,1.93999993801117
201,1704979408195.657692,24.957576751709,30,36.640625,2,1.94999992847443
202,1704979408495.657884,24.957576751709,30,37.2786445617676,2,1.95999991893768
203,1704979408795.681959,24.957576751709,30,37.6584205627441,2,2
204,1704979409095.661244,24.2681865692139,30,38.0078125,2,2.00999999046326
205,1704979409395.667977,24.2681865692139,30,38.3268241882324,2,2.01999998092651
206,1704979409695.692577,24.2681865692139,30,38.6205139160156,2,2.02999997138977
207,1704979409995.673199,24.9188632965088,30,38.9952278137207,2,2.03999996185303
208,1704979410295.663546,24.9188632965088,30,39.2078971862793,2,2.03999996185303
209,1704979410595.665884,24.9188632965088,30,39.3800659179688,2,2.03999996185303
210,1704979410895.664066,24.9188632965088,30,39.5269088745117,2,2.04999995231628
211,1704979411195.664279,26.3364715576172,30,39.6788215637207,2,2.04999995231628
212,1704979411495.667786,26.3364715576172,30,39.7395820617676,2,2.04999995231628
213,1704979411795.674479,26.3364715576172,30,39.7699661254883,2,2.03999996185303
214,1704979412095.669839,28.8898277282715,30,39.7649002075195,2,2.02999997138977
215,1704979412395.695444,28.8898277282715,30,39.7294540405273,2,2.01999998092651
216,1704979412695.665666,28.8898277282715,30,39.6129951477051,2,2.00999999046326
217,1704979412995.672630,32.557186126709,30,39.4965286254883,2,2.00999999046326
218,1704979413295.684772,32.557186126709,30,39.3547439575195,2,2.01999998092651
219,1704979413595.696146,32.557186126709,30,39.1775169372559,2,2.01999998092651
220,1704979413895.664066,32.557186126709,30,38.8483810424805,2,2.02999997138977
221,1704979414195.648932,37.2606887817383,30,38.6053237915039,2,2.02999997138977
222,1704979414495.655519,37.2606887817383,30,38.3369522094727,2,2.02999997138977
223,1704979414795.657746,37.2606887817383,30,38.0432548522949,2,2.02999997138977
224,1704979415095.666706,42.7603721618652,30,37.734375,2,2.02999997138977
225,1704979415395.655390,42.7603721618652,30,37.2381362915039,2,2.02999997138977
226,1704979415695.675679,42.7603721618652,30,36.888744354248,2,2.02999997138977
227,1704979415995.653879,48.2142486572266,30,36.5342903137207,2,2.02999997138977
228,1704979416295.682439,48.2142486572266,30,36.1697044372559,2,2.01999998092651
229,1704979416595.656839,48.2142486572266,30,35.6228294372559,2,2.01999998092651
230,1704979416895.662457,48.2142486572266,30,35.2633094787598,2,2.01999998092651
231,1704979417195.657532,53.0775337219238,30,34.9088516235352,2,2.00999999046326
232,1704979417495.659279,53.0775337219238,30,34.5594596862793,2,2.00999999046326
