Sample,X(ms) [05.01.2024 13:21:40 264 UTC],"firstHeater[%Q0.5]","secondHeater[%Q0.6]","thirdHeater[%Q0.7]"
862,1704460900264.280739,0,0,0
863,1704460900274.091817,0,0,0
864,1704460900284.091669,0,0,0
865,1704460900294.105708,0,0,0
866,1704460900304.164932,0,0,0
867,1704460900314.240386,0,0,0
868,1704460900324.100706,0,0,0
869,1704460900334.150341,0,0,0
870,1704460900344.205597,0,0,0
871,1704460900354.116252,0,0,0
872,1704460900364.090757,0,0,0
873,1704460900374.091941,0,0,0
874,1704460900384.091884,0,0,0
875,1704460900394.091836,0,0,0
876,1704460900404.091928,0,0,0
877,1704460900414.091670,0,0,0
878,1704460900424.091823,0,0,0
879,1704460900434.094550,0,0,0
880,1704460900444.091768,0,0,0
881,1704460900454.091860,0,0,0
882,1704460900464.113373,0,0,0
883,1704460900474.162688,0,0,0
884,1704460900484.213836,0,0,0
885,1704460900494.266427,0,0,0
886,1704460900504.127128,0,0,0
887,1704460900514.178647,0,0,0
888,1704460900524.231920,0,0,0
889,1704460900534.095436,0,0,0
890,1704460900544.103483,0,0,0
891,1704460900554.093647,0,0,0
892,1704460900564.093570,0,0,0
893,1704460900574.096207,0,0,0
894,1704460900584.094556,0,0,0
895,1704460900594.095260,0,0,0
896,1704460900604.095473,0,0,0
897,1704460900614.120692,0,0,0
898,1704460900624.166290,0,0,0
899,1704460900634.444104,0,0,0
900,1704460900644.205739,0,0,0
901,1704460900654.259332,0,0,0
902,1704460900664.095507,0,0,0
903,1704460900674.095539,0,1,0
904,1704460900684.096884,0,1,0
905,1704460900694.095504,0,1,0
906,1704460900704.095557,0,1,0
907,1704460900714.097893,0,1,0
908,1704460900724.096433,0,1,0
909,1704460900734.096546,0,1,0
910,1704460900744.096458,0,1,0
911,1704460900754.096460,0,1,0
912,1704460900764.097444,0,1,0
913,1704460900774.121201,0,1,0
914,1704460900784.175235,0,1,0
915,1704460900794.230481,0,1,0
916,1704460900804.279806,0,1,0
917,1704460900814.140126,0,1,0
918,1704460900824.191475,0,1,0
919,1704460900834.247272,0,1,0
920,1704460900844.300184,0,1,0
921,1704460900854.098408,0,1,0
922,1704460900864.099542,0,1,0
923,1704460900874.099775,0,1,0
924,1704460900884.098345,0,1,0
925,1704460900894.099339,0,1,0
926,1704460900904.105483,0,1,0
927,1704460900914.129120,0,1,0
928,1704460900924.178184,0,1,0
929,1704460900934.231306,0,1,0
930,1704460900944.281773,0,1,0
931,1704460900954.099403,0,1,0
932,1704460900964.100357,0,1,0
933,1704460900974.100260,0,1,0
934,1704460900984.101394,0,1,0
935,1704460900994.100315,0,1,0
936,1704460901004.100317,0,1,0
937,1704460901014.101972,0,1,0
938,1704460901024.100402,0,1,0
939,1704460901034.101236,0,1,0
940,1704460901044.101288,0,1,0
941,1704460901054.102643,0,1,0
942,1704460901064.131069,0,1,0
943,1704460901074.182357,0,1,0
944,1704460901084.234317,0,1,0
945,1704460901094.292369,0,1,0
946,1704460901104.148060,0,1,0
947,1704460901114.202745,0,1,0
948,1704460901124.256739,0,1,0
949,1704460901134.305543,0,1,0
950,1704460901144.102104,0,1,0
951,1704460901154.103278,0,1,0
952,1704460901164.103281,0,1,0
953,1704460901174.107030,0,1,0
954,1704460901184.103195,0,1,0
955,1704460901194.103147,0,1,0
956,1704460901204.103080,0,1,0
957,1704460901214.104214,0,1,0
958,1704460901224.104026,0,1,0
959,1704460901234.103978,0,1,0
960,1704460901244.105123,0,1,0
961,1704460901254.156722,0,1,0
962,1704460901264.207540,0,1,0
963,1704460901274.264930,0,0,0
964,1704460901284.105353,0,0,0
965,1704460901294.104945,0,0,0
966,1704460901304.105298,0,0,0
967,1704460901314.106212,0,0,0
968,1704460901324.104942,0,0,0
969,1704460901334.106447,0,0,0
970,1704460901344.106780,0,0,0
971,1704460901354.106351,0,0,0
972,1704460901364.108227,0,0,0
973,1704460901374.106286,0,0,0
974,1704460901384.105938,0,0,0
975,1704460901394.109617,0,0,0
976,1704460901404.142762,0,0,0
977,1704460901414.200643,0,0,0
978,1704460901424.252462,0,0,0
979,1704460901434.112783,0,0,0
980,1704460901444.162388,0,0,0
981,1704460901454.210230,0,0,0
982,1704460901464.265256,0,0,0
983,1704460901474.109075,0,0,0
984,1704460901484.107925,0,0,0
985,1704460901494.107908,0,0,0
986,1704460901504.107730,0,0,0
987,1704460901514.108934,0,0,0
988,1704460901524.109368,0,0,0
989,1704460901534.109340,0,0,0
990,1704460901544.110274,0,0,0
991,1704460901554.110627,0,0,0
992,1704460901564.109127,0,0,0
993,1704460901574.138925,0,0,0
994,1704460901584.196415,0,0,0
995,1704460901594.239879,0,0,0
996,1704460901604.294895,0,0,0
997,1704460901614.155055,0,0,0
998,1704460901624.203869,0,0,0
999,1704460901634.273422,0,0,0
1000,1704460901644.111961,0,0,0
1001,1704460901654.109769,0,0,0
1002,1704460901664.111114,0,0,0
1003,1704460901674.118210,0,1,0
1004,1704460901684.110658,0,1,0
1005,1704460901694.110600,0,1,0
1006,1704460901704.110633,0,1,0
1007,1704460901714.110675,0,1,0
1008,1704460901724.111539,0,1,0
1009,1704460901734.111542,0,1,0
1010,1704460901744.114269,0,1,0
1011,1704460901754.155158,0,1,0
1012,1704460901764.207058,0,1,0
1013,1704460901774.258397,0,1,0
1014,1704460901784.117274,0,1,0
1015,1704460901794.174414,0,1,0
1016,1704460901804.228418,0,1,0
1017,1704460901814.281459,0,1,0
1018,1704460901824.112465,0,1,0
1019,1704460901834.112377,0,1,0
1020,1704460901844.112540,0,1,0
1021,1704460901854.113564,0,1,0
1022,1704460901864.119427,0,1,0
1023,1704460901874.113549,0,1,0
1024,1704460901884.113631,0,1,0
1025,1704460901894.113543,0,1,0
1026,1704460901904.114598,0,1,0
1027,1704460901914.114851,0,1,0
1028,1704460901924.114502,0,1,0
1029,1704460901934.252143,0,1,0
1030,1704460901944.125838,0,1,0
1031,1704460901954.176255,0,1,0
1032,1704460901964.228626,0,1,0
1033,1704460901974.282399,0,1,0
1034,1704460901984.115539,0,1,0
1035,1704460901994.116914,0,1,0
1036,1704460902004.115624,0,1,0
1037,1704460902014.115746,0,1,0
1038,1704460902024.115799,0,1,0
1039,1704460902034.170524,0,1,0
1040,1704460902044.219067,0,1,0
1041,1704460902054.273902,0,1,0
1042,1704460902064.128292,0,1,0
1043,1704460902074.183528,0,1,0
1044,1704460902084.257599,0,1,0
1045,1704460902094.305822,0,1,0
1046,1704460902104.117391,0,1,0
1047,1704460902114.117193,0,1,0
1048,1704460902124.117315,0,1,0
1049,1704460902134.117458,0,1,0
1050,1704460902144.117911,0,1,0
1051,1704460902154.117453,0,1,0
1052,1704460902164.118377,0,1,0
1053,1704460902174.118319,0,1,0
1054,1704460902184.119494,0,1,0
1055,1704460902194.119025,0,1,0
1056,1704460902204.131441,0,1,0
1057,1704460902214.188210,0,1,0
1058,1704460902224.240450,0,1,0
1059,1704460902234.297049,0,1,0
1060,1704460902244.160104,0,1,0
1061,1704460902254.214889,0,1,0
1062,1704460902264.119342,0,1,0
1063,1704460902274.119325,0,0,0
1064,1704460902284.119497,0,0,0
1065,1704460902294.121504,0,0,0
1066,1704460902304.121546,0,0,0
1067,1704460902314.120316,0,0,0
1068,1704460902324.120609,0,0,0
1069,1704460902334.177558,0,0,0
1070,1704460902344.120634,0,0,0
1071,1704460902354.167174,0,0,0
1072,1704460902364.221939,0,0,0
1073,1704460902374.271314,0,0,0
1074,1704460902384.225200,0,0,0
1075,1704460902394.289132,0,0,0
1076,1704460902404.122321,0,0,0
1077,1704460902414.125870,0,0,0
1078,1704460902424.130401,0,0,0
1079,1704460902434.123420,0,0,0
1080,1704460902444.122140,0,0,0
1081,1704460902454.122093,0,0,0
1082,1704460902464.122396,0,0,0
1083,1704460902474.315430,0,0,0
1084,1704460902484.137008,0,0,0
1085,1704460902494.184760,0,0,0
1086,1704460902504.239064,0,0,0
1087,1704460902514.292557,0,0,0
1088,1704460902524.126127,0,0,0
1089,1704460902534.124927,0,0,0
1090,1704460902544.123316,0,0,0
1091,1704460902554.124711,0,0,0
1092,1704460902564.128421,0,0,0
1093,1704460902574.125608,0,0,0
1094,1704460902584.124178,0,0,0
1095,1704460902594.166469,0,0,0
1096,1704460902604.127499,0,0,0
1097,1704460902614.158820,0,0,0
1098,1704460902624.211651,0,0,0
1099,1704460902634.272267,0,0,0
1100,1704460902644.138759,0,0,0
1101,1704460902654.191631,0,0,0
1102,1704460902664.255914,0,0,0
1103,1704460902674.133927,0,1,0
1104,1704460902684.128690,0,1,0
1105,1704460902694.128271,0,1,0
1106,1704460902704.127723,0,1,0
1107,1704460902714.127715,0,1,0
1108,1704460902724.125884,0,1,0
1109,1704460902734.139933,0,1,0
1110,1704460902744.126580,0,1,0
1111,1704460902754.126733,0,1,0
1112,1704460902764.134840,0,1,0
1113,1704460902774.195917,0,1,0
1114,1704460902784.246425,0,1,0
1115,1704460902794.298014,0,1,0
1116,1704460902804.156971,0,1,0
1117,1704460902814.211206,0,1,0
1118,1704460902824.297209,0,1,0
1119,1704460902834.128195,0,1,0
1120,1704460902844.135110,0,1,0
1121,1704460902854.127658,0,1,0
1122,1704460902864.128031,0,1,0
1123,1704460902874.128755,0,1,0
1124,1704460902884.128687,0,1,0
1125,1704460902894.129201,0,1,0
1126,1704460902904.128632,0,1,0
1127,1704460902914.128675,0,1,0
1128,1704460902924.129699,0,1,0
1129,1704460902934.129691,0,1,0
1130,1704460902944.146786,0,1,0
1131,1704460902954.193906,0,1,0
1132,1704460902964.317932,0,1,0
1133,1704460902974.129621,0,1,0
1134,1704460902984.129513,0,1,0
1135,1704460902994.130768,0,1,0
1136,1704460903004.130820,0,1,0
1137,1704460903014.144698,0,1,0
1138,1704460903024.130574,0,1,0
1139,1704460903034.132130,0,1,0
1140,1704460903044.138394,0,1,0
1141,1704460903054.191255,0,1,0
1142,1704460903064.273081,0,1,0
1143,1704460903074.326434,0,1,0
1144,1704460903084.133785,0,1,0
