Sample,X(ms) [11.01.2024 13:40:15 023 UTC],"ExecutePWM_DB.I_furnancePower","ExecutePWM_DB.I_tempSetPoint","ExecutePWM_DB.tempAfterScaled","ExecutePWM_DB.I_flowSetPoint","ExecutePWM_DB.flowFlow"
308,1704980415107.649355,100,30,12.4768524169922,2,1.99000000953674
309,1704980415407.651755,100,30,12.4768524169922,2,1.99000000953674
310,1704980415707.654244,100,30,12.4768524169922,2,1.99000000953674
311,1704980416007.654208,100,30,12.4768524169922,2,1.99000000953674
312,1704980416307.666417,100,30,12.4768524169922,2,1.99000000953674
313,1704980416607.696715,100,30,12.4768524169922,2,1.99000000953674
314,1704980416907.660337,100,30,12.4768524169922,2,1.99000000953674
315,1704980417207.676635,85.5008239746094,30,12.4768524169922,2,1.99000000953674
316,1704980417507.656888,85.5008239746094,30,12.4768524169922,2,1.9799998998642
317,1704980417807.658937,85.5008239746094,30,12.4717884063721,2,1.9799998998642
318,1704980418107.685715,82.5120697021484,30,12.4717884063721,2,1.9799998998642
319,1704980418407.651488,82.5120697021484,30,12.4717884063721,2,1.99000000953674
320,1704980418707.659982,82.5120697021484,30,12.4717884063721,2,1.9799998998642
321,1704980419007.660982,83.6311492919922,30,12.4717884063721,2,1.9799998998642
322,1704980419307.662768,83.6311492919922,30,12.4717884063721,2,1.96999990940094
323,1704980419607.673942,83.6311492919922,30,12.4768524169922,2,1.9799998998642
324,1704980419907.691488,83.6311492919922,30,12.481915473938,2,2
325,1704980420207.672648,86.0413284301758,30,12.497106552124,2,2.00999999046326
326,1704980420507.654848,86.0413284301758,30,12.5274887084961,2,2.00999999046326
327,1704980420807.655835,86.0413284301758,30,12.5578708648682,2,2.00999999046326
328,1704980421107.661715,88.5128707885742,30,12.6034440994263,2,2.01999998092651
329,1704980421407.682835,88.5128707885742,30,12.659143447876,2,2.01999998092651
330,1704980421707.679395,88.5128707885742,30,12.7756071090698,2,2.01999998092651
331,1704980422007.651244,90.1396026611328,30,12.8768815994263,2,2.02999997138977
332,1704980422307.667590,90.1396026611328,30,12.9933452606201,2,2.02999997138977
333,1704980422607.668324,90.1396026611328,30,13.140191078186,2,2.02999997138977
334,1704980422907.686924,90.1396026611328,30,13.3123550415039,2,2.01999998092651
335,1704980423207.655497,90.1467742919922,30,13.6212387084961,2,2.02999997138977
336,1704980423507.654097,90.1467742919922,30,13.8592300415039,2,2.02999997138977
337,1704980423807.652715,90.1467742919922,30,14.1276044845581,2,2.02999997138977
338,1704980424107.658862,87.9803085327148,30,14.4212961196899,2,2.03999996185303
339,1704980424407.676777,87.9803085327148,30,14.9074077606201,2,2.04999995231628
340,1704980424707.679950,87.9803085327148,30,15.2669267654419,2,2.05999994277954
341,1704980425007.690657,84.1185073852539,30,15.6618928909302,2,2.04999995231628
342,1704980425307.654315,84.1185073852539,30,16.0821762084961,2,2.04999995231628
343,1704980425607.656195,84.1185073852539,30,16.5277767181396,2,2.03999996185303
344,1704980425907.656808,84.1185073852539,30,17.2670707702637,2,2.02999997138977
345,1704980426207.677884,78.6026153564453,30,17.8038196563721,2,2.00999999046326
346,1704980426507.658684,78.6026153564453,30,18.376012802124,2,2
347,1704980426807.677422,78.6026153564453,30,18.9937782287598,2,1.99000000953674
348,1704980427107.659444,71.1437225341797,30,19.9913196563721,2,1.99000000953674
349,1704980427407.657262,71.1437225341797,30,20.7103576660156,2,1.99000000953674
350,1704980427707.657475,71.1437225341797,30,21.46484375,2,1.99000000953674
351,1704980428007.655590,61.1492080688477,30,22.2497100830078,2,1.99000000953674
352,1704980428307.652315,61.1492080688477,30,23.0598964691162,2,1.99000000953674
353,1704980428607.656377,61.1492080688477,30,24.310619354248,2,1.9799998998642
354,1704980428907.692835,61.1492080688477,30,25.1613140106201,2,1.99000000953674
355,1704980429207.653390,49.4114723205566,30,26.0069446563721,2,2
356,1704980429507.657328,49.4114723205566,30,26.8475131988525,2,2.01999998092651
357,1704980429807.654822,49.4114723205566,30,28.0678520202637,2,2.00999999046326
358,1704980430107.655862,39.1843338012695,30,28.8628482818604,2,2.00999999046326
359,1704980430407.689150,39.1843338012695,30,29.6274604797363,2,2.01999998092651
360,1704980430707.653768,39.1843338012695,30,30.3616905212402,2,2.01999998092651
361,1704980431007.657262,32.3333473205566,30,31.0655384063721,2,2.00999999046326
362,1704980431307.664835,32.3333473205566,30,32.0732040405273,2,2.00999999046326
363,1704980431607.687137,32.3333473205566,30,32.7162895202637,2,2.00999999046326
364,1704980431907.661355,32.3333473205566,30,33.3391189575195,2,2.00999999046326
365,1704980432207.658542,28.6697425842285,30,33.9366340637207,2,2.01999998092651
366,1704980432507.657804,28.6697425842285,30,34.8025169372559,2,2.01999998092651
367,1704980432807.656435,28.6697425842285,30,35.3544540405273,2,2.02999997138977
368,1704980433107.695430,26.0879306793213,30,35.8810768127441,2,2.02999997138977
369,1704980433407.661515,26.0879306793213,30,36.3773155212402,2,2.02999997138977
370,1704980433707.656048,26.0879306793213,30,36.8381080627441,2,2.02999997138977
371,1704980434007.687057,23.7906055450439,30,37.4609375,2,2.01999998092651
372,1704980434307.703168,23.7906055450439,30,37.8255195617676,2,2
373,1704980434607.669537,23.7906055450439,30,38.1495971679688,2,1.99000000953674
374,1704980434907.665475,23.7413997650146,30,38.4382247924805,2,1.9799998998642
375,1704980435207.664848,23.7413997650146,30,38.7825508117676,2,1.9799998998642
376,1704980435507.665288,23.7413997650146,30,38.96484375,2,1.9799998998642
377,1704980435807.702804,23.7413997650146,30,39.1015625,2,1.9799998998642
