Sample,X(ms) [05.01.2024 13:15:45 271 UTC],"firstHeater[%Q0.5]","secondHeater[%Q0.6]","thirdHeater[%Q0.7]"
1549,1704460545272.210718,0,1,1
1550,1704460545282.195882,0,1,1
1551,1704460545292.199301,0,1,1
1552,1704460545302.197190,0,1,1
1553,1704460545312.197042,0,1,1
1554,1704460545322.199308,0,1,1
1555,1704460545332.239787,0,1,1
1556,1704460545342.208711,0,1,1
1557,1704460545352.203804,0,1,1
1558,1704460545362.207824,0,1,1
1559,1704460545372.207476,0,1,1
1560,1704460545382.284683,0,1,1
1561,1704460545392.363243,0,1,1
1562,1704460545402.387621,0,1,1
1563,1704460545412.255716,0,1,1
1564,1704460545422.308778,0,1,1
1565,1704460545432.374313,0,1,1
1566,1704460545442.198926,0,1,1
1567,1704460545452.201133,0,1,1
1568,1704460545462.199632,0,1,1
1569,1704460545472.200005,0,1,1
1570,1704460545482.199948,0,1,1
1571,1704460545492.199810,0,1,1
1572,1704460545502.199692,0,1,1
1573,1704460545512.199905,0,1,1
1574,1704460545522.209385,0,1,1
1575,1704460545532.199669,0,1,1
1576,1704460545542.199792,0,1,1
1577,1704460545552.223418,0,1,1
1578,1704460545562.287852,0,1,1
1579,1704460545572.339952,0,1,1
1580,1704460545582.390870,0,1,1
1581,1704460545592.255839,0,1,1
1582,1704460545602.360307,0,1,1
1583,1704460545612.201051,0,1,1
1584,1704460545622.201694,0,1,1
1585,1704460545632.202027,0,1,1
1586,1704460545642.201639,0,1,1
1587,1704460545652.201621,0,1,1
1588,1704460545662.202836,0,1,1
1589,1704460545672.201676,0,1,1
1590,1704460545682.202670,0,1,1
1591,1704460545692.202693,0,1,1
1592,1704460545702.202775,0,1,1
1593,1704460545712.202748,0,1,1
1594,1704460545722.203982,0,1,1
1595,1704460545732.319451,0,1,1
1596,1704460545742.422798,0,1,1
1597,1704460545752.264463,0,1,1
1598,1704460545762.370564,0,1,1
1599,1704460545772.214564,0,1,1
1600,1704460545782.212873,0,1,1
1601,1704460545792.211353,0,1,1
1602,1704460545802.214982,0,1,1
1603,1704460545812.211859,0,1,1
1604,1704460545822.216480,0,1,1
1605,1704460545832.222383,0,1,1
1606,1704460545842.329637,0,1,1
1607,1704460545852.388359,0,1,1
1608,1704460545862.263557,0,1,1
1609,1704460545872.357857,0,1,1
1610,1704460545882.212476,1,1,1
1611,1704460545892.207119,1,1,1
1612,1704460545902.206991,1,1,1
1613,1704460545912.206883,1,1,1
1614,1704460545922.206925,1,1,1
1615,1704460545932.207048,1,1,1
1616,1704460545942.206760,1,1,1
1617,1704460545952.206862,1,1,1
1618,1704460545962.209480,1,1,1
1619,1704460545972.207899,1,1,1
1620,1704460545982.207691,1,1,1
1621,1704460545992.239674,1,1,1
1622,1704460546002.289610,1,1,1
1623,1704460546012.345948,1,1,1
1624,1704460546022.209083,1,1,1
1625,1704460546032.255172,1,1,1
1626,1704460546042.311440,1,1,1
1627,1704460546052.461785,1,1,1
1628,1704460546062.209494,1,1,1
1629,1704460546072.210297,1,1,1
1630,1704460546082.209178,1,1,1
1631,1704460546092.209240,1,1,1
1632,1704460546102.209142,1,1,1
1633,1704460546112.210437,1,1,1
1634,1704460546122.211802,1,1,1
1635,1704460546132.210572,1,1,1
1636,1704460546142.211957,1,1,1
1637,1704460546152.210868,1,1,1
1638,1704460546162.212623,1,1,1
1639,1704460546172.211323,1,1,1
1640,1704460546182.256440,1,1,1
1641,1704460546192.311706,1,1,1
1642,1704460546202.367984,1,1,1
1643,1704460546212.231781,1,1,1
1644,1704460546222.277640,1,1,1
1645,1704460546232.338326,1,1,1
1646,1704460546242.383112,1,1,1
1647,1704460546252.212444,1,1,1
1648,1704460546262.214651,1,1,1
1649,1704460546272.212670,1,1,1
1650,1704460546282.212431,0,1,1
1651,1704460546292.212334,0,1,1
1652,1704460546302.212376,0,1,1
1653,1704460546312.212439,0,1,1
1654,1704460546322.212932,0,1,1
1655,1704460546332.213044,0,1,1
1656,1704460546342.290202,0,1,1
1657,1704460546352.340278,0,1,1
1658,1704460546362.394572,0,1,1
1659,1704460546372.293295,0,1,1
1660,1704460546382.379388,0,1,1
1661,1704460546392.225723,0,1,1
1662,1704460546402.214374,0,1,1
1663,1704460546412.215428,0,1,1
1664,1704460546422.215691,0,1,1
1665,1704460546432.214852,0,1,1
1666,1704460546442.214854,0,1,1
1667,1704460546452.214987,0,1,1
1668,1704460546462.214989,0,1,1
1669,1704460546472.214801,0,1,1
1670,1704460546482.218551,0,1,1
1671,1704460546492.253238,0,1,1
1672,1704460546502.312502,0,1,1
1673,1704460546512.367597,0,1,1
1674,1704460546522.232506,0,1,1
1675,1704460546532.283745,0,1,1
1676,1704460546542.335033,0,1,1
1677,1704460546552.214910,0,1,1
1678,1704460546562.215073,0,1,1
1679,1704460546572.214705,0,1,1
1680,1704460546582.215889,0,1,1
1681,1704460546592.215010,0,1,1
1682,1704460546602.215844,0,1,1
1683,1704460546612.215866,0,1,1
1684,1704460546622.218323,0,1,1
1685,1704460546632.215781,0,1,1
1686,1704460546642.215753,0,1,1
1687,1704460546652.219152,0,1,1
1688,1704460546662.262977,0,1,1
1689,1704460546672.318403,0,1,1
1690,1704460546682.358831,0,1,1
1691,1704460546692.222708,0,1,1
1692,1704460546702.358125,0,1,1
1693,1704460546712.399214,0,1,1
1694,1704460546722.219750,0,1,1
1695,1704460546732.219842,0,1,1
1696,1704460546742.219564,0,1,1
1697,1704460546752.219547,0,1,1
1698,1704460546762.219509,0,1,1
1699,1704460546772.219581,0,1,1
1700,1704460546782.220455,0,1,1
1701,1704460546792.220388,0,1,1
1702,1704460546802.220540,0,1,1
1703,1704460546812.223649,0,1,1
1704,1704460546822.220415,0,1,1
1705,1704460546832.235516,0,1,1
1706,1704460546842.286985,0,1,1
1707,1704460546852.341189,0,1,1
1708,1704460546862.392698,0,1,1
1709,1704460546872.250984,0,1,1
1710,1704460546882.301762,1,1,1
1711,1704460546892.363430,1,1,1
1712,1704460546902.405291,1,1,1
1713,1704460546912.222360,1,1,1
1714,1704460546922.229947,1,1,1
1715,1704460546932.222305,1,1,1
1716,1704460546942.222437,1,1,1
1717,1704460546952.230104,1,1,1
1718,1704460546962.223434,1,1,1
1719,1704460546972.224128,1,1,1
1720,1704460546982.226364,1,1,1
1721,1704460546992.223261,1,1,1
1722,1704460547002.236939,1,1,1
1723,1704460547012.288368,1,1,1
1724,1704460547022.344716,1,1,1
1725,1704460547032.411403,1,1,1
1726,1704460547042.269279,1,1,1
1727,1704460547052.322281,1,1,1
1728,1704460547062.373078,1,1,1
1729,1704460547072.423335,1,1,1
1730,1704460547082.224685,1,1,1
1731,1704460547092.227883,1,1,1
1732,1704460547102.224730,1,1,1
1733,1704460547112.225664,1,1,1
1734,1704460547122.225696,1,1,1
1735,1704460547132.225638,1,1,1
1736,1704460547142.226182,1,1,1
1737,1704460547152.230082,1,1,1
1738,1704460547162.225626,1,1,1
1739,1704460547172.226359,1,1,1
1740,1704460547182.266437,1,1,1
1741,1704460547192.319659,1,1,1
1742,1704460547202.370347,1,1,1
1743,1704460547212.234043,1,1,1
1744,1704460547222.285763,1,1,1
1745,1704460547232.338374,1,1,1
1746,1704460547242.388941,1,1,1
1747,1704460547252.226278,1,1,1
1748,1704460547262.231941,1,1,1
1749,1704460547272.233737,1,1,1
1750,1704460547282.250701,0,1,1
