Sample,X(ms) [11.01.2024 11:52:25 316 UTC],"ExecutePWM_DB.tempAfterScaled"
4231,1704973945243.650266,12.4717884063721
4232,1704973945258.646066,12.4717884063721
4233,1704973945273.681030,12.4717884063721
4234,1704973945288.646608,12.4717884063721
4235,1704973945303.674252,12.4717884063721
4236,1704973945318.677452,12.4717884063721
4237,1704973945333.635919,12.4717884063721
4238,1704973945348.638252,12.4717884063721
4239,1704973945363.641679,12.4717884063721
4240,1704973945378.638021,12.4717884063721
4241,1704973945393.641661,12.4717884063721
4242,1704973945408.682408,12.4717884063721
4243,1704973945423.644452,12.4717884063721
4244,1704973945438.656532,12.4717884063721
4245,1704973945453.644452,12.4717884063721
4246,1704973945468.639488,12.4717884063721
4247,1704973945483.645479,12.4717884063721
4248,1704973945498.641488,12.4717884063721
4249,1704973945513.638821,12.4717884063721
4250,1704973945528.649048,12.4717884063721
4251,1704973945543.644101,12.4717884063721
4252,1704973945558.709039,12.4717884063721
4253,1704973945573.645292,12.4717884063721
4254,1704973945588.664799,12.4717884063721
4255,1704973945603.639714,12.4717884063721
4256,1704973945618.641128,12.4717884063721
4257,1704973945633.636066,12.4717884063721
4258,1704973945648.670754,12.4717884063721
4259,1704973945663.636892,12.4667253494263
4260,1704973945678.640039,12.4667253494263
4261,1704973945693.660039,12.4667253494263
4262,1704973945708.642172,12.4667253494263
4263,1704973945723.646034,12.4667253494263
4264,1704973945738.667719,12.4667253494263
4265,1704973945753.636234,12.4667253494263
4266,1704973945768.640279,12.4667253494263
4267,1704973945783.635906,12.4667253494263
4268,1704973945798.646794,12.4667253494263
4269,1704973945813.640972,12.4667253494263
4270,1704973945828.646612,12.4667253494263
4271,1704973945843.643554,12.4667253494263
4272,1704973945858.637279,12.4667253494263
4273,1704973945873.644114,12.4667253494263
4274,1704973945888.654212,12.4667253494263
4275,1704973945903.639052,12.4667253494263
4276,1704973945918.634594,12.4667253494263
4277,1704973945933.650394,12.4667253494263
4278,1704973945948.636354,12.4667253494263
4279,1704973945963.659981,12.4667253494263
4280,1704973945978.637794,12.4667253494263
4281,1704973945993.648768,12.4667253494263
4282,1704973946008.640128,12.4667253494263
4283,1704973946023.640466,12.4667253494263
4284,1704973946038.669146,12.4667253494263
4285,1704973946053.638341,12.4667253494263
4286,1704973946068.639808,12.4667253494263
4287,1704973946083.637159,12.4667253494263
4288,1704973946098.649314,12.4667253494263
4289,1704973946113.642488,12.4667253494263
4290,1704973946128.645039,12.4667253494263
4291,1704973946143.665492,12.4667253494263
4292,1704973946158.635999,12.4667253494263
4293,1704973946173.644008,12.4667253494263
4294,1704973946188.657132,12.4667253494263
4295,1704973946203.646061,12.4667253494263
4296,1704973946218.641692,12.4667253494263
4297,1704973946233.637554,12.4667253494263
4298,1704973946248.639448,12.4667253494263
4299,1704973946263.640874,12.4667253494263
4300,1704973946278.637612,12.4667253494263
4301,1704973946293.641061,12.4667253494263
4302,1704973946308.688523,12.4667253494263
4303,1704973946323.639021,12.4667253494263
4304,1704973946338.662452,12.4667253494263
4305,1704973946353.633506,12.4667253494263
4306,1704973946368.639932,12.4667253494263
4307,1704973946383.639639,12.4667253494263
4308,1704973946398.640452,12.4667253494263
4309,1704973946413.651221,12.4667253494263
4310,1704973946428.637052,12.4667253494263
4311,1704973946443.641821,12.4667253494263
4312,1704973946458.663132,12.4667253494263
4313,1704973946473.640359,12.4667253494263
4314,1704973946488.649986,12.4667253494263
4315,1704973946503.639652,12.4667253494263
4316,1704973946518.645692,12.4667253494263
4317,1704973946533.658266,12.4667253494263
4318,1704973946548.638052,12.4667253494263
4319,1704973946563.642954,12.4667253494263
4320,1704973946578.636479,12.4667253494263
4321,1704973946593.638728,12.4667253494263
4322,1704973946608.643306,12.4667253494263
4323,1704973946623.676461,12.4667253494263
4324,1704973946638.641221,12.4667253494263
4325,1704973946653.637946,12.4667253494263
4326,1704973946668.636626,12.4667253494263
4327,1704973946683.663248,12.4667253494263
4328,1704973946698.635874,12.4667253494263
4329,1704973946713.641506,12.4667253494263
4330,1704973946728.647012,12.4667253494263
4331,1704973946743.639506,12.4616603851318
4332,1704973946758.640221,12.4616603851318
4333,1704973946773.650679,12.4616603851318
4334,1704973946788.645568,12.4616603851318
4335,1704973946803.635932,12.4616603851318
4336,1704973946818.642279,12.4616603851318
4337,1704973946833.668732,12.4616603851318
4338,1704973946848.637928,12.4616603851318
4339,1704973946863.639421,12.4616603851318
4340,1704973946878.634812,12.4616603851318
4341,1704973946893.638519,12.4616603851318
4342,1704973946908.643692,12.4616603851318
4343,1704973946923.637212,12.4616603851318
4344,1704973946938.648972,12.4616603851318
4345,1704973946953.674674,12.4616603851318
4346,1704973946968.640461,12.4616603851318
4347,1704973946983.658474,12.4616603851318
4348,1704973946998.648154,12.4616603851318
4349,1704973947013.641514,12.4616603851318
4350,1704973947028.637261,12.4616603851318
4351,1704973947043.644728,12.4616603851318
4352,1704973947058.649874,12.4616603851318
4353,1704973947073.665728,12.4616603851318
4354,1704973947088.650612,12.4616603851318
4355,1704973947103.660634,12.4616603851318
4356,1704973947118.669474,12.4616603851318
4357,1704973947133.660981,12.4616603851318
4358,1704973947148.636679,12.4616603851318
