Sample,X(ms) [05.01.2024 13:27:26 708 UTC],"firstHeater[%Q0.5]","secondHeater[%Q0.6]","thirdHeater[%Q0.7]"
719,1704461246710.159775,0,1,0
720,1704461246720.211554,0,1,0
721,1704461246730.097292,0,1,0
722,1704461246740.068170,0,1,0
723,1704461246750.073362,0,1,0
724,1704461246760.068856,0,1,0
725,1704461246770.069079,0,1,0
726,1704461246780.068320,0,1,0
727,1704461246790.070106,0,1,0
728,1704461246800.070499,0,1,0
729,1704461246810.069529,0,1,0
730,1704461246820.072096,0,1,0
731,1704461246830.110862,0,1,0
732,1704461246840.165637,0,1,0
733,1704461246850.228968,0,1,0
734,1704461246860.083768,0,1,0
735,1704461246870.137832,0,1,0
736,1704461246880.187748,0,1,0
737,1704461246890.326811,0,1,0
738,1704461246900.070803,0,1,0
739,1704461246910.071918,0,1,0
740,1704461246920.071279,0,1,0
741,1704461246930.070920,0,1,0
742,1704461246940.070031,0,1,0
743,1704461246950.070755,0,1,0
744,1704461246960.071028,0,1,0
745,1704461246970.075258,0,1,0
746,1704461246980.070962,0,1,0
747,1704461246990.071987,0,1,0
748,1704461247000.070817,0,1,0
749,1704461247010.079195,0,1,0
750,1704461247020.128760,0,1,0
751,1704461247030.178215,0,1,0
752,1704461247040.071908,0,1,0
753,1704461247050.071801,0,1,0
754,1704461247060.071923,0,1,0
755,1704461247070.071865,0,1,0
756,1704461247080.073120,0,1,0
757,1704461247090.072822,0,1,0
758,1704461247100.073686,0,1,0
759,1704461247110.132839,0,1,0
760,1704461247120.169280,0,1,0
761,1704461247130.260814,0,1,0
762,1704461247140.151582,0,1,0
763,1704461247150.172824,0,1,0
764,1704461247160.227809,0,1,0
765,1704461247170.073532,0,1,0
766,1704461247180.073815,0,1,0
767,1704461247190.073728,0,1,0
768,1704461247200.074912,0,1,0
769,1704461247210.073963,0,1,1
770,1704461247220.074857,0,1,1
771,1704461247230.074749,0,1,1
772,1704461247240.075974,0,1,1
773,1704461247250.075635,0,1,1
774,1704461247260.074786,0,1,1
775,1704461247270.075941,0,1,1
776,1704461247280.092775,0,1,1
777,1704461247290.145526,0,1,1
778,1704461247300.207635,0,1,1
779,1704461247310.251059,0,1,1
780,1704461247320.208862,0,1,1
781,1704461247330.179770,0,1,1
782,1704461247340.226630,0,1,1
783,1704461247350.077643,0,1,1
784,1704461247360.076613,0,1,1
785,1704461247370.077598,0,1,1
786,1704461247380.079994,0,1,1
787,1704461247390.077061,0,1,1
