Sample,X(ms) [11.01.2024 12:05:15 480 UTC],"ExecutePWM_DB.tempAfterScaled"
6164,1704974715406.649582,12.481915473938
6165,1704974715421.649786,12.481915473938
6166,1704974715436.666582,12.481915473938
6167,1704974715451.658013,12.481915473938
6168,1704974715466.672146,12.481915473938
6169,1704974715481.665484,12.481915473938
6170,1704974715496.639617,12.481915473938
6171,1704974715511.661977,12.481915473938
6172,1704974715526.654710,12.481915473938
6173,1704974715541.669328,12.481915473938
6174,1704974715556.645070,12.481915473938
6175,1704974715571.663310,12.481915473938
6176,1704974715586.637435,12.481915473938
6177,1704974715601.650808,12.481915473938
6178,1704974715616.635537,12.481915473938
6179,1704974715631.676177,12.481915473938
6180,1704974715646.638755,12.481915473938
6181,1704974715661.639262,12.481915473938
6182,1704974715676.634315,12.481915473938
6183,1704974715691.639355,12.481915473938
6184,1704974715706.653608,12.481915473938
6185,1704974715721.637604,12.481915473938
6186,1704974715736.646337,12.481915473938
6187,1704974715751.638155,12.481915473938
6188,1704974715766.640022,12.481915473938
6189,1704974715781.640217,12.481915473938
6190,1704974715796.636048,12.481915473938
6191,1704974715811.640568,12.481915473938
6192,1704974715826.660208,12.481915473938
6193,1704974715841.649835,12.481915473938
6194,1704974715856.659595,12.481915473938
6195,1704974715871.639248,12.481915473938
6196,1704974715886.638088,12.481915473938
6197,1704974715901.657382,12.481915473938
6198,1704974715916.640982,12.481915473938
6199,1704974715931.636075,12.481915473938
6200,1704974715946.637564,12.481915473938
6201,1704974715961.641604,12.481915473938
6202,1704974715976.633942,12.481915473938
6203,1704974715991.638528,12.481915473938
6204,1704974716006.639662,12.481915473938
6205,1704974716021.638448,12.481915473938
6206,1704974716036.637550,12.481915473938
6207,1704974716051.662670,12.481915473938
6208,1704974716066.637110,12.481915473938
6209,1704974716081.638728,12.481915473938
6210,1704974716096.643710,12.481915473938
6211,1704974716111.638382,12.481915473938
6212,1704974716126.646368,12.481915473938
6213,1704974716141.646515,12.481915473938
6214,1704974716156.662590,12.481915473938
6215,1704974716171.640870,12.481915473938
6216,1704974716186.641742,12.481915473938
6217,1704974716201.661848,12.481915473938
6218,1704974716216.636897,12.481915473938
6219,1704974716231.656964,12.481915473938
6220,1704974716246.638190,12.481915473938
6221,1704974716261.631675,12.481915473938
6222,1704974716276.644470,12.481915473938
6223,1704974716291.637702,12.481915473938
6224,1704974716306.667662,12.481915473938
6225,1704974716321.640030,12.481915473938
6226,1704974716336.639382,12.481915473938
6227,1704974716351.639817,12.481915473938
6228,1704974716366.638182,12.481915473938
6229,1704974716381.639004,12.481915473938
6230,1704974716396.638608,12.4768524169922
6231,1704974716411.640115,12.4768524169922
6232,1704974716426.676537,12.4768524169922
6233,1704974716441.636657,12.4768524169922
6234,1704974716456.638657,12.4768524169922
6235,1704974716471.653790,12.4768524169922
6236,1704974716486.645982,12.4768524169922
6237,1704974716501.636884,12.4768524169922
6238,1704974716516.640457,12.4768524169922
6239,1704974716531.649790,12.4768524169922
6240,1704974716546.640604,12.4768524169922
6241,1704974716561.657150,12.4768524169922
6242,1704974716576.637324,12.4768524169922
6243,1704974716591.645102,12.4768524169922
6244,1704974716606.638395,12.4768524169922
6245,1704974716621.637035,12.4768524169922
6246,1704974716636.641137,12.4768524169922
6247,1704974716651.638910,12.4768524169922
6248,1704974716666.640737,12.4768524169922
6249,1704974716681.653230,12.4768524169922
6250,1704974716696.637155,12.4768524169922
6251,1704974716711.648084,12.4768524169922
6252,1704974716726.671710,12.4768524169922
6253,1704974716741.639577,12.4768524169922
6254,1704974716756.638328,12.4768524169922
6255,1704974716771.640022,12.4768524169922
6256,1704974716786.668897,12.4768524169922
6257,1704974716801.636728,12.4768524169922
6258,1704974716816.642670,12.4768524169922
6259,1704974716831.659182,12.4768524169922
6260,1704974716846.643590,12.4768524169922
6261,1704974716861.641284,12.4768524169922
6262,1704974716876.658133,12.4768524169922
6263,1704974716891.641150,12.4768524169922
6264,1704974716906.636155,12.4768524169922
6265,1704974716921.639728,12.4768524169922
6266,1704974716936.641924,12.4768524169922
6267,1704974716951.638470,12.4768524169922
6268,1704974716966.632137,12.4768524169922
6269,1704974716981.660288,12.4768524169922
6270,1704974716996.636577,12.4768524169922
6271,1704974717011.642688,12.4768524169922
6272,1704974717026.673297,12.4768524169922
6273,1704974717041.638537,12.4768524169922
6274,1704974717056.638857,12.4768524169922
6275,1704974717071.631275,12.4768524169922
6276,1704974717086.638528,12.4768524169922
6277,1704974717101.640822,12.4768524169922
6278,1704974717116.635835,12.4768524169922
6279,1704974717131.644977,12.4768524169922
6280,1704974717146.642008,12.4768524169922
6281,1704974717161.640768,12.4768524169922
6282,1704974717176.661368,12.4768524169922
6283,1704974717191.642830,12.4768524169922
6284,1704974717206.687470,12.4768524169922
6285,1704974717221.638862,12.4768524169922
6286,1704974717236.659097,12.4768524169922
6287,1704974717251.646435,12.4768524169922
6288,1704974717266.636008,12.4768524169922
6289,1704974717281.656395,12.4768524169922
6290,1704974717296.639555,12.4768524169922
6291,1704974717311.641062,12.4768524169922
6292,1704974717326.644284,12.4768524169922
6293,1704974717341.639942,12.4768524169922
6294,1704974717356.645097,12.4768524169922
