Sample,X(ms) [09.01.2024 15:03:56 846 UTC],"ExecutePWM_DB.tempAfterScaled"
15250,1704812636746.627732,13.0591726303101
15251,1704812636756.605652,13.0591726303101
15252,1704812636766.607479,13.0591726303101
15253,1704812636776.609452,13.0591726303101
15254,1704812636786.625443,13.0591726303101
15255,1704812636796.604292,13.0591726303101
15256,1704812636806.609772,13.0591726303101
15257,1704812636816.607395,13.0591726303101
15258,1704812636826.623879,13.0591726303101
15259,1704812636836.633421,13.0591726303101
15260,1704812636846.632643,13.0591726303101
15261,1704812636856.600337,13.0591726303101
15262,1704812636866.602635,13.0591726303101
15263,1704812636876.618341,13.0591726303101
15264,1704812636886.607670,13.0591726303101
15265,1704812636896.599057,13.0591726303101
15266,1704812636906.600741,13.0591726303101
15267,1704812636916.618057,13.0591726303101
15268,1704812636926.595288,13.0591726303101
15269,1704812636936.601848,13.0591726303101
15270,1704812636946.598683,13.0591726303101
15271,1704812636956.621243,13.0591726303101
15272,1704812636966.606261,13.0591726303101
15273,1704812636976.615843,13.0591726303101
15274,1704812636986.597421,13.0591726303101
15275,1704812636996.601003,13.0591726303101
15276,1704812637006.595177,13.0591726303101
15277,1704812637016.600403,13.0591726303101
15278,1704812637026.597137,13.0591726303101
15279,1704812637036.594688,13.0591726303101
15280,1704812637046.596417,13.0591726303101
15281,1704812637056.592861,13.0591726303101
15282,1704812637066.595030,13.0591726303101
15283,1704812637076.595368,13.0591726303101
15284,1704812637086.594937,13.0591726303101
15285,1704812637096.592003,13.0591726303101
15286,1704812637106.595243,13.0591726303101
15287,1704812637116.595621,13.0591726303101
15288,1704812637126.597777,13.0591726303101
15289,1704812637136.616795,13.0591726303101
15290,1704812637146.596155,13.0591726303101
15291,1704812637156.613555,13.0591726303101
15292,1704812637166.597657,13.0591726303101
15293,1704812637176.593310,13.0591726303101
15294,1704812637186.595515,13.0591726303101
15295,1704812637196.598755,13.0591726303101
15296,1704812637206.595017,13.0591726303101
15297,1704812637216.606417,13.0591726303101
15298,1704812637226.594070,13.0591726303101
15299,1704812637236.597368,13.0591726303101
15300,1704812637246.596501,13.0591726303101
15301,1704812637256.593115,13.0591726303101
15302,1704812637266.596888,13.0591726303101
15303,1704812637276.590230,13.0591726303101
15304,1704812637286.593803,13.0591726303101
15305,1704812637296.622163,13.0591726303101
15306,1704812637306.620355,13.0591726303101
15307,1704812637316.601995,13.0591726303101
15308,1704812637326.618341,13.0591726303101
15309,1704812637336.601257,13.0591726303101
15310,1704812637346.603577,13.0591726303101
15311,1704812637356.603021,13.0591726303101
15312,1704812637366.619043,13.0591726303101
15313,1704812637376.598017,13.0591726303101
15314,1704812637386.594101,13.0591726303101
15315,1704812637396.598057,13.0591726303101
15316,1704812637406.621443,13.0591726303101
15317,1704812637416.596248,13.0591726303101
15318,1704812637426.597790,13.0591726303101
15319,1704812637436.596688,13.0591726303101
15320,1704812637446.618350,13.0591726303101
15321,1704812637456.595163,13.0591726303101
15322,1704812637466.607390,13.0591726303101
15323,1704812637476.601275,13.0591726303101
15324,1704812637486.629723,13.0591726303101
15325,1704812637496.596048,13.0591726303101
15326,1704812637506.606417,13.0591726303101
15327,1704812637516.597857,13.0591726303101
15328,1704812637526.613675,13.0591726303101
15329,1704812637536.596190,13.0591726303101
15330,1704812637546.595755,13.0591726303101
15331,1704812637556.599421,13.0591726303101
15332,1704812637566.609217,13.0591726303101
15333,1704812637576.595968,13.0591726303101
15334,1704812637586.600595,13.0591726303101
15335,1704812637596.598355,13.0591726303101
15336,1704812637606.608248,13.0591726303101
15337,1704812637616.612830,13.0591726303101
15338,1704812637626.627875,13.0591726303101
15339,1704812637636.613941,13.0591726303101
15340,1704812637646.596430,13.0591726303101
15341,1704812637656.593888,13.0591726303101
15342,1704812637666.598995,13.0591726303101
15343,1704812637676.613075,13.0591726303101
15344,1704812637686.596137,13.0591726303101
15345,1704812637696.593857,13.0591726303101
15346,1704812637706.623501,13.0591726303101
15347,1704812637716.631977,13.0591726303101
15348,1704812637726.597275,13.0591726303101
15349,1704812637736.600181,13.0591726303101
15350,1704812637746.596821,13.0591726303101
15351,1704812637756.599288,13.0591726303101
15352,1704812637766.598901,13.0591726303101
15353,1704812637776.595657,13.0591726303101
15354,1704812637786.611523,13.0591726303101
15355,1704812637796.599168,13.0591726303101
15356,1704812637806.617435,13.0591726303101
15357,1704812637816.596235,13.0591726303101
15358,1704812637826.597430,13.0591726303101
15359,1704812637836.598501,13.0591726303101
15360,1704812637846.606937,13.0591726303101
15361,1704812637856.596537,13.0591726303101
15362,1704812637866.597648,13.0591726303101
15363,1704812637876.597728,13.0591726303101
15364,1704812637886.597977,13.0591726303101
15365,1704812637896.609741,13.0591726303101
15366,1704812637906.597395,13.0591726303101
15367,1704812637916.605635,13.0591726303101
15368,1704812637926.600595,13.0591726303101
15369,1704812637936.625168,13.0591726303101
15370,1704812637946.626910,13.0591726303101
15371,1704812637956.607021,13.0591726303101
15372,1704812637966.596901,13.0591726303101
15373,1704812637976.581443,13.0591726303101
15374,1704812637986.593657,13.0591726303101
15375,1704812637996.601741,13.0591726303101
15376,1704812638006.594203,13.0642366409302
15377,1704812638016.594270,13.0642366409302
15378,1704812638026.599555,13.0642366409302
15379,1704812638036.606910,13.0642366409302
15380,1704812638046.599528,13.0642366409302
15381,1704812638056.633870,13.0642366409302
15382,1704812638066.596568,13.0642366409302
15383,1704812638076.598043,13.0642366409302
15384,1704812638086.596901,13.0642366409302
15385,1704812638096.600083,13.0642366409302
15386,1704812638106.601323,13.0642366409302
15387,1704812638116.598537,13.0642366409302
15388,1704812638126.596328,13.0642366409302
15389,1704812638136.622275,13.0642366409302
15390,1704812638146.616097,13.0642366409302
15391,1704812638156.599541,13.0642366409302
15392,1704812638166.597341,13.0642366409302
15393,1704812638176.598968,13.0642366409302
15394,1704812638186.617750,13.0642366409302
15395,1704812638196.597323,13.0642366409302
15396,1704812638206.596497,13.0642366409302
15397,1704812638216.597337,13.0642366409302
15398,1704812638226.619163,13.0642366409302
15399,1704812638236.596097,13.0642366409302
15400,1704812638246.629088,13.0642366409302
15401,1704812638256.642195,13.0642366409302
15402,1704812638266.599257,13.0642366409302
15403,1704812638276.609497,13.0642366409302
15404,1704812638286.602115,13.0642366409302
15405,1704812638296.623350,13.0642366409302
15406,1704812638306.599990,13.0642366409302
15407,1704812638316.596261,13.0642366409302
15408,1704812638326.597430,13.0642366409302
15409,1704812638336.627337,13.0642366409302
15410,1704812638346.597008,13.0642366409302
15411,1704812638356.579955,13.0642366409302
15412,1704812638366.598777,13.0642366409302
15413,1704812638376.617097,13.0642366409302
15414,1704812638386.598448,13.0642366409302
15415,1704812638396.600475,13.0642366409302
15416,1704812638406.598577,13.0642366409302
15417,1704812638416.615808,13.0642366409302
15418,1704812638426.597328,13.0642366409302
15419,1704812638436.599457,13.0642366409302
15420,1704812638446.599128,13.0642366409302
15421,1704812638456.609861,13.0642366409302
15422,1704812638466.597261,13.0642366409302
15423,1704812638476.599315,13.0642366409302
15424,1704812638486.601661,13.0642366409302
15425,1704812638496.617568,13.0642366409302
15426,1704812638506.595697,13.0642366409302
15427,1704812638516.597723,13.0642366409302
15428,1704812638526.598275,13.0642366409302
15429,1704812638536.617963,13.0642366409302
15430,1704812638546.595883,13.0642366409302
15431,1704812638556.598443,13.0642366409302
15432,1704812638566.597955,13.0642366409302
15433,1704812638576.614461,13.0642366409302
15434,1704812638586.597563,13.0642366409302
15435,1704812638596.605315,13.0642366409302
15436,1704812638606.599261,13.0642366409302
15437,1704812638616.610537,13.0642366409302
15438,1704812638626.598288,13.0642366409302
15439,1704812638636.606381,13.0642366409302
15440,1704812638646.595688,13.0642366409302
15441,1704812638656.597497,13.0642366409302
15442,1704812638666.594750,13.0642366409302
15443,1704812638676.598777,13.0642366409302
15444,1704812638686.639603,13.0642366409302
15445,1704812638696.596861,13.0642366409302
15446,1704812638706.599897,13.0642366409302
15447,1704812638716.595603,13.0642366409302
15448,1704812638726.595523,13.0642366409302
15449,1704812638736.598035,13.0642366409302
15450,1704812638746.598483,13.0642366409302
15451,1704812638756.597803,13.0642366409302
15452,1704812638766.595523,13.0642366409302
15453,1704812638776.594221,13.0642366409302
15454,1704812638786.599595,13.0642366409302
15455,1704812638796.596217,13.0642366409302
15456,1704812638806.595977,13.0642366409302
15457,1704812638816.595701,13.0591726303101
15458,1704812638826.598835,13.0591726303101
15459,1704812638836.606461,13.0591726303101
15460,1704812638846.594950,13.0591726303101
15461,1704812638856.596843,13.0591726303101
15462,1704812638866.619581,13.0591726303101
15463,1704812638876.609808,13.0591726303101
15464,1704812638886.597341,13.0591726303101
15465,1704812638896.618417,13.0591726303101
15466,1704812638906.619297,13.0591726303101
15467,1704812638916.600661,13.0591726303101
15468,1704812638926.601363,13.0591726303101
15469,1704812638936.617541,13.0591726303101
15470,1704812638946.600070,13.0591726303101
15471,1704812638956.597390,13.0642366409302
15472,1704812638966.610377,13.0642366409302
15473,1704812638976.618421,13.0642366409302
15474,1704812638986.609621,13.0642366409302
15475,1704812638996.599715,13.0642366409302
